project_name,classification,commit_message
apache-ant,Corrective,fix usage of mixed case names of add(typedef) introspection. fix by moving the tolower method from unknownelement to introspectionhelper.git-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@275505 13f79535-47bb-0310-9956-ffa450edef68n
apache-ant,Corrective,"Bug 7552 audit of <copy> and <move> - really make sure state is reset, even if exceptions have been thrown.Make the single file copy operation only work for a single nestednfileset that contains a single file (would have accepted multiplenincluded files and silently used the randomly chosen first one).nnRemove private shadows of Copy members from Move.nnngit-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@272365 13f79535-47bb-0310-9956-ffa450edef68n"
apache-ant,Corrective,new javadoc task now extends exec and spawns another JVM to go around the system.exit() problemsgit-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@267558 13f79535-47bb-0310-9956-ffa450edef68n
apache-ant,Corrective,new javadoc task now extends exec and spawns another JVM to go around the system.exit() problemsgit-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@267558 13f79535-47bb-0310-9956-ffa450edef68n
apache-ant,Corrective,* Added descendent name scope. * Changed semantics of FileName.resolveName() with child scope. * Fixed a couple of problems in UriParser.normalise(). * Split up LocalFileNameParser into a Windows specifc parser and a generic   parser. * More test cases.git-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@271668 13f79535-47bb-0310-9956-ffa450edef68n
apache-ant,Corrective,"handle errors in command line arguments by throwing exception, making Jon Skeet happy and fixingPR: 16123nnngit-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@273863 13f79535-47bb-0310-9956-ffa450edef68n"
apache-ant,Corrective,"- New tasks StarTeamCheckin and StarTeamList - Modify StarTeamCheckin, Add ability to check files out either locked or unlocked.  (Previously task left lock status alone.) - Modify docs for all of the above. - Fix JavaDoc tags (SB)PR: 5650nPatch by: stevec@ignitesports.com (Steve Cohen)nnngit-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@270762 13f79535-47bb-0310-9956-ffa450edef68n"
apache-ant,Corrective,* Added descendent name scope. * Changed semantics of FileName.resolveName() with child scope. * Fixed a couple of problems in UriParser.normalise(). * Split up LocalFileNameParser into a Windows specifc parser and a generic   parser. * More test cases.git-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@271668 13f79535-47bb-0310-9956-ffa450edef68n
apache-ant,Corrective,fixes for presetdefs handling of attributes PR: 24411git-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@275617 13f79535-47bb-0310-9956-ffa450edef68n
apache-ant,Corrective,Remove xslp usage from ant. Bugzilla 23455.git-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@395723 13f79535-47bb-0310-9956-ffa450edef68n
apache-ant,Corrective,"- New tasks StarTeamCheckin and StarTeamList - Modify StarTeamCheckin, Add ability to check files out either locked or unlocked.  (Previously task left lock status alone.) - Modify docs for all of the above. - Fix JavaDoc tags (SB)PR: 5650nPatch by: stevec@ignitesports.com (Steve Cohen)nnngit-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@270762 13f79535-47bb-0310-9956-ffa450edef68n"
apache-ant,Corrective,"PR 56748 Spelling fixes, submitted by Ville Skyttu00c3u00a4"
apache-ant,Corrective,fix (I think) encoding for InputStream from StringResourcegit-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@537018 13f79535-47bb-0310-9956-ffa450edef68n
apache-ant,Corrective,Fix (add!) outofdate check as indicated by Martijn. Doh!git-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@278424 13f79535-47bb-0310-9956-ffa450edef68n
apache-ant,Corrective,"add method that compares file contents to FileUtils, use it in FixCrLf.git-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@269960 13f79535-47bb-0310-9956-ffa450edef68n"
apache-ant,Corrective,- Added rulespath to Audit to use customized rules. - Fix Audit messages to remove fullpath in it. It wont work on references though. - Fix MAudit handler to print stderr as well so that a missing agent or invalid options return a message. - Enhance options to reflect those available also in Webgain QA 2.1.2+git-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@271226 13f79535-47bb-0310-9956-ffa450edef68n
apache-ant,Corrective,* Added descendent name scope. * Changed semantics of FileName.resolveName() with child scope. * Fixed a couple of problems in UriParser.normalise(). * Split up LocalFileNameParser into a Windows specifc parser and a generic   parser. * More test cases.git-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@271668 13f79535-47bb-0310-9956-ffa450edef68n
apache-ant,Corrective,Start to convert into a myrmidon task.Remove notion of failonerror/output/input etc. Will handle ina different way in ant2.nnngit-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@270235 13f79535-47bb-0310-9956-ffa450edef68n
apache-ant,Corrective,"Since nobody objects, this is the project helper modularization commit.The default is ProjectHelperImpl, which have the original ( SAX1 ) implementation.nnMost of the XML-related code has been removed, the only remaining problemnis the AttributeList that is passed to the introspection helper ( which isnXML and SAX1 specific ). Its easy to pass this by using a AttributeListImpl,nand hopefully the introspection helper will be made less SAX1-specific someday.nnngit-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@271780 13f79535-47bb-0310-9956-ffa450edef68n"
apache-ant,Feature Addition,<javadoc> added some options to the not-cloned Commandline potentially adding them several times of execute would be called more than once.Cosmetics.nnngit-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@272382 13f79535-47bb-0310-9956-ffa450edef68n
apache-ant,Feature Addition,<javadoc> added some options to the not-cloned Commandline potentially adding them several times of execute would be called more than once.Cosmetics.nnngit-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@272382 13f79535-47bb-0310-9956-ffa450edef68n
apache-ant,Feature Addition,Move zip/tar related archiving and un-archiving classes into new packagegit-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@270941 13f79535-47bb-0310-9956-ffa450edef68n
apache-ant,Feature Addition,"* Added TypeDefinition and sub-classes, which are passed to TypeDeployer to   explicitly deploy a type.  These replace the multi-arg deployX() methods.* ConverterDef now sub-classes AbstractTypeDef.nn* Changed AbstractTypeDef to use TypeDefinition objects, and to configuren  them using the configurer.  Removed all setX() methods from AbstractTypeDefn  and sub-classes.nn* Added some units tests for DefaultDeployer.nn* Moved component set-up from DefaultConfigurerTest -> super class.nnngit-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@271072 13f79535-47bb-0310-9956-ffa450edef68n"
apache-ant,Feature Addition,Removed some unused crufty code and moved native ENvironment manipulation code into new class.git-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@270319 13f79535-47bb-0310-9956-ffa450edef68n
apache-ant,Feature Addition,"Allow to specify a given factory implementation for the transformer (xsltc, xalan, saxon...) and to specify processor specific settings.TraxLiaison has been completely refactored because the factorynneeded to be created once everything was set up.nnI dont think it is final state since it might be better to specify factory attributesnand element in a <factory> element rather than how it is now.nnXSLTProcess starts to bevery difficult to read with all the inner classes as well...nnngit-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@273089 13f79535-47bb-0310-9956-ffa450edef68n"
apache-ant,Feature Addition,Rewritten the introspection part of ProjectHelper.1. Moved all introspection activities to a helper class.n2. setter methods can now use parameters of a far richer set ofn   types. See the modified patch task as an example.n3. Nested Elements can be created by the task with createElement() orn   by IntrospectionHelper if the task implements void addElement(ObjectType).n4. Documented addText(String) and nested elements in the Writing Yourn   own Task section and changed the documentation for the setter methods.n5. Added getLocation method to BuildException.n6. Changed the return type of Ant.createProperty from Task to Propertyn   - as this is what gets returned anyway.nnngit-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@267753 13f79535-47bb-0310-9956-ffa450edef68n
apache-ant,Feature Addition,"Rewritten part of the regexp stuff, adding substitution and options. New optional replaceregexp tasks that takes advantage of it.Submitted by:tMatthew Inger <matti@sedonacorp.com>nnThis doesnt really work (but doesnt break anything either), but Inwanted to get the stuff committed now, I will put work into itntomorrow.  See mail to the list for details.nnngit-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@269820 13f79535-47bb-0310-9956-ffa450edef68n"
apache-ant,Feature Addition,Start to move the non-deprecated XML files into new antlib - making sure they are compatible with myrmidongit-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@270227 13f79535-47bb-0310-9956-ffa450edef68n
apache-ant,Feature Addition,Start to move the non-deprecated XML files into new antlib - making sure they are compatible with myrmidongit-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@270227 13f79535-47bb-0310-9956-ffa450edef68n
apache-ant,Feature Addition,<javadoc> added some options to the not-cloned Commandline potentially adding them several times of execute would be called more than once.Cosmetics.nnngit-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@272382 13f79535-47bb-0310-9956-ffa450edef68n
apache-ant,Feature Addition,<javadoc> added some options to the not-cloned Commandline potentially adding them several times of execute would be called more than once.Cosmetics.nnngit-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@272382 13f79535-47bb-0310-9956-ffa450edef68n
apache-ant,Feature Addition,<javadoc> added some options to the not-cloned Commandline potentially adding them several times of execute would be called more than once.Cosmetics.nnngit-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@272382 13f79535-47bb-0310-9956-ffa450edef68n
apache-ant,Feature Addition,Move over to new tar packagegit-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@271947 13f79535-47bb-0310-9956-ffa450edef68n
apache-ant,Feature Addition,<javadoc> added some options to the not-cloned Commandline potentially adding them several times of execute would be called more than once.Cosmetics.nnngit-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@272382 13f79535-47bb-0310-9956-ffa450edef68n
apache-ant,Feature Addition,Add resource collection support to copy and friendsgit-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@292247 13f79535-47bb-0310-9956-ffa450edef68n
apache-ant,Feature Addition,Restore 1.1 operation Refactor context class loader methods into a utility class Add URL method to FileUtils (still need to pick that up in Project) Rename xcatalog to XMLCataloggit-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@271813 13f79535-47bb-0310-9956-ffa450edef68n
apache-ant,Feature Addition,<javadoc> added some options to the not-cloned Commandline potentially adding them several times of execute would be called more than once.Cosmetics.nnngit-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@272382 13f79535-47bb-0310-9956-ffa450edef68n
apache-ant,Feature Addition,Move over to new tar packagegit-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@271947 13f79535-47bb-0310-9956-ffa450edef68n
apache-ant,Feature Addition,"Added ANTLR#setGlib(File) Marked ANTLR#setGlib(String) as deprecated, and make it call the new setGlib(File)git-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@274717 13f79535-47bb-0310-9956-ffa450edef68n"
apache-ant,Feature Addition,ProjectManager is no longer a FlyWeight. It now carries state pertinent to a set of Projects that are executed in concert.It also works with new ExecutionFrame model as appropriate. It also propogates all frame specific parameters/components aswell.nnngit-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@269163 13f79535-47bb-0310-9956-ffa450edef68n
apache-ant,Feature Addition,Removed some unused crufty code and moved native ENvironment manipulation code into new class.git-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@270319 13f79535-47bb-0310-9956-ffa450edef68n
apache-ant,Feature Addition,Removed some unused crufty code and moved native ENvironment manipulation code into new class.git-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@270319 13f79535-47bb-0310-9956-ffa450edef68n
apache-ant,Feature Addition,"* Added ClassLoaderManager.createClassLoader( File[] ), to create a   ClassLoader from a class-path.* Moved responsibility for creation of ClassLoaders out of the tasks, and inton  the ClassLoaderManager, which caches them, and resolves extension dependencies.nn* Added PathUtil.createClassLoader() convenience method to create a ClassLoadern  from a Path.nn* Changed the PathUtil methods to use the more general FileList, rather than Path.nn* Added classpath attribute to the <*-available> conditions.nnngit-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@272047 13f79535-47bb-0310-9956-ffa450edef68n"
apache-ant,Feature Addition,Add Primary Key capability to iPlanet deployment toolSubmitted by:tPaul Spillman <Paul.Spillman@Sun.COM>nnngit-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@270622 13f79535-47bb-0310-9956-ffa450edef68n
apache-ant,Feature Addition,Rewritten the introspection part of ProjectHelper.1. Moved all introspection activities to a helper class.n2. setter methods can now use parameters of a far richer set ofn   types. See the modified patch task as an example.n3. Nested Elements can be created by the task with createElement() orn   by IntrospectionHelper if the task implements void addElement(ObjectType).n4. Documented addText(String) and nested elements in the Writing Yourn   own Task section and changed the documentation for the setter methods.n5. Added getLocation method to BuildException.n6. Changed the return type of Ant.createProperty from Task to Propertyn   - as this is what gets returned anyway.nnngit-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@267753 13f79535-47bb-0310-9956-ffa450edef68n
apache-ant,Feature Addition,Rewritten the introspection part of ProjectHelper.1. Moved all introspection activities to a helper class.n2. setter methods can now use parameters of a far richer set ofn   types. See the modified patch task as an example.n3. Nested Elements can be created by the task with createElement() orn   by IntrospectionHelper if the task implements void addElement(ObjectType).n4. Documented addText(String) and nested elements in the Writing Yourn   own Task section and changed the documentation for the setter methods.n5. Added getLocation method to BuildException.n6. Changed the return type of Ant.createProperty from Task to Propertyn   - as this is what gets returned anyway.nnngit-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@267753 13f79535-47bb-0310-9956-ffa450edef68n
apache-ant,Feature Addition,Dont need main in new architecture.git-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@270176 13f79535-47bb-0310-9956-ffa450edef68n
apache-ant,Feature Addition,Rewritten the introspection part of ProjectHelper.1. Moved all introspection activities to a helper class.n2. setter methods can now use parameters of a far richer set ofn   types. See the modified patch task as an example.n3. Nested Elements can be created by the task with createElement() orn   by IntrospectionHelper if the task implements void addElement(ObjectType).n4. Documented addText(String) and nested elements in the Writing Yourn   own Task section and changed the documentation for the setter methods.n5. Added getLocation method to BuildException.n6. Changed the return type of Ant.createProperty from Task to Propertyn   - as this is what gets returned anyway.nnngit-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@267753 13f79535-47bb-0310-9956-ffa450edef68n
apache-ant,Feature Addition,Removed nasty hack-o-rama by re-catching and re-throwing ConfigurationExceptions up call stack.Added support for reflection picking up typed addersnnAdded suppot for adders that tak a Configuration objectnnngit-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@270968 13f79535-47bb-0310-9956-ffa450edef68n
apache-ant,Feature Addition,Started refactoring.Made BuildException extend TaskException. Now BuildException is no longer a RuntimException and needs to be declared everywhere it could be thrownnnRemoved the constructors that took location info for BuildException. Location is something known about byt the container and the tasks them selves should not be worrying about that sort of thingnnRemoved a bunch of deprecated methods and features. Also moved all file handling utilities outside iof the Project class. To aid the transition I added a resolveFile method to the base ProjectComponent class.nn480 odd compile errors left to clean up.nnngit-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@270158 13f79535-47bb-0310-9956-ffa450edef68n
apache-ant,Feature Addition,Refactored proposal so it is more inline with apporpriate design patterns.Added in a number of new tasks to demonstrate interaction with tasklet runtime.nnngit-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@268316 13f79535-47bb-0310-9956-ffa450edef68n
apache-ant,Feature Addition,Make <style> support Exolabs new Adaptx processor.Submitted by:tArnaud Blandin <blandin@intalio.com>nnngit-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@269832 13f79535-47bb-0310-9956-ffa450edef68n
apache-ant,Feature Addition,Dont need main in new architecture.git-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@270176 13f79535-47bb-0310-9956-ffa450edef68n
apache-ant,Feature Addition,Add negate attribute to <propertyset>s.git-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@276224 13f79535-47bb-0310-9956-ffa450edef68n
apache-ant,Feature Addition,Move the execute related classes into a new package.git-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@270241 13f79535-47bb-0310-9956-ffa450edef68n
apache-ant,Feature Addition,"* Rolled back change to PropertyResolver.resolveProperties(), so that it   uses a TaskContext again.  Added some regression tests.* Changed Embeddor.createWorkspace() to use a Map, rather than a Parameters,n  to supply initial workspace properties.  Initial properties can be Objects,n  rather than only Strings.  Got rid of the Object -> String convertion fromn  <ant> and <antcall>.nn* Generalised ExecutionFrame, so that it can represent any execution scopen  (root, workspace, project, task, inherited, etc), rather than just task scope:n  - Replaced getTaskContext() with getPropertyStore().n  - Replaced getTypeManager() with getServiceManager().nn* Executor is now responsible for creating TaskContext.nn* Changed DefaultExecutor to use the configurer provided by the execution frame.nn* Added ExecutionContainer, a lifecycle interface which is used to supply then  root execution frame to a service which executes tasks (directly or indirectly).nn* Changed interaction between DefaultEmbeddor and workspaces.  Embeddor is nown  responsible for creating the base property store for workspaces.  ExecutionContainern  is used to pass this to workspaces.  Parameterizable is now used to passn  container params to workspaces (which matches how it is used with all then  other services).nnngit-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@272302 13f79535-47bb-0310-9956-ffa450edef68n"
apache-ant,Feature Addition,Changed embeddor so that a new ProjectBuilder is instantiated on every call to createProject. There is no longer a globally Cached and configured ProjectManager.Also retrieved the ProjectBuilder from TypeManager. This allows arbitrarynProjectBuilder classes to be registered by dropping in new jars to lib directory.nnMade the type of ProjectBuilder be specified by type parameter or if that isnnull the extention of input build file.nnngit-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@269189 13f79535-47bb-0310-9956-ffa450edef68n
apache-ant,Feature Addition,Rewritten the introspection part of ProjectHelper.1. Moved all introspection activities to a helper class.n2. setter methods can now use parameters of a far richer set ofn   types. See the modified patch task as an example.n3. Nested Elements can be created by the task with createElement() orn   by IntrospectionHelper if the task implements void addElement(ObjectType).n4. Documented addText(String) and nested elements in the Writing Yourn   own Task section and changed the documentation for the setter methods.n5. Added getLocation method to BuildException.n6. Changed the return type of Ant.createProperty from Task to Propertyn   - as this is what gets returned anyway.nnngit-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@267753 13f79535-47bb-0310-9956-ffa450edef68n
apache-ant,Feature Addition,Remove uneeded mail task - should use the new refactoring from ant1git-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@271203 13f79535-47bb-0310-9956-ffa450edef68n
apache-ant,Feature Addition,"Rewritten part of the regexp stuff, adding substitution and options. New optional replaceregexp tasks that takes advantage of it.Submitted by:tMatthew Inger <matti@sedonacorp.com>nnThis doesnt really work (but doesnt break anything either), but Inwanted to get the stuff committed now, I will put work into itntomorrow.  See mail to the list for details.nnngit-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@269820 13f79535-47bb-0310-9956-ffa450edef68n"
apache-ant,Feature Addition,Added option to turn on notification of emacs on a build error so that emacs goes to the file and location of the error. Also added the ability to provide a build file to load at startup from the command line.git-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@268195 13f79535-47bb-0310-9956-ffa450edef68n
apache-ant,Feature Addition,Added option to turn on notification of emacs on a build error so that emacs goes to the file and location of the error. Also added the ability to provide a build file to load at startup from the command line.git-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@268195 13f79535-47bb-0310-9956-ffa450edef68n
apache-ant,Feature Addition,"Finally I managed to finish a new version of the VAJ tasks. The most important new feature is the ability to execute VAJ tasks from the command line by exploiting the Remote Tool Access feature of VAJ.Submitted by:twolf.siberski@tui.dennSome patches look a lot larger as I had to remove stray CRs, I alsonkilled TABs wherever I stumbled over them.nnngit-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@269819 13f79535-47bb-0310-9956-ffa450edef68n"
apache-ant,Feature Addition,Added option to turn on notification of emacs on a build error so that emacs goes to the file and location of the error. Also added the ability to provide a build file to load at startup from the command line.git-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@268195 13f79535-47bb-0310-9956-ffa450edef68n
apache-ant,Feature Addition,Add resource collection support to copy and friendsgit-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@292247 13f79535-47bb-0310-9956-ffa450edef68n
apache-ant,Feature Addition,"Added *internal* support multiple projects, and generalized the selection state mechanism.git-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@268419 13f79535-47bb-0310-9956-ffa450edef68n"
apache-ant,Feature Addition,add rule that$->$; retaining $$->$Fundamental changes like this scare me. I wonder what the gump is going to show up here. If all is well; nothing.nnngit-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@272447 13f79535-47bb-0310-9956-ffa450edef68n
apache-ant,Feature Addition,Move the execute related classes into a new package.git-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@270241 13f79535-47bb-0310-9956-ffa450edef68n
apache-ant,Feature Addition,New task <jlink>.Many thanks to Patrick C. Beard <beard@netscape.com> for allowing hisnoriginal jlink code to be placed under the Apache Software License.nnSubmitted by:tMatthew Kuperus Heun <matthew.k.heun@gaerospace.com>nnngit-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@267982 13f79535-47bb-0310-9956-ffa450edef68n
apache-ant,Feature Addition,Remove uneeded mail task - should use the new refactoring from ant1git-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@271203 13f79535-47bb-0310-9956-ffa450edef68n
apache-ant,Feature Addition,Control the order in which the system and build classpaths are combined via a new property: build.sysclasspath.git-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@268383 13f79535-47bb-0310-9956-ffa450edef68n
