commit_hash,project_name,classification,commit_message
001078e0677e39b962ca1da81fc34d7ac9a7e65c,hadoop,None,YARN-2107. Refactored timeline classes into o.a.h.y.s.timeline package. Contributed by Vinod Kumar Vavilapalli.git-svn-id: https://svn.apache.org/repos/asf/hadoop/common/trunk@1598094 13f79535-47bb-0310-9956-ffa450edef68n
002e0d1731e48f4f9f940aaf002a32f5eb107489,tomcat,Corrective,Mostly revert r1723165 and implement a better fix.git-svn-id: https://svn.apache.org/repos/asf/tomcat/trunk@1723174 13f79535-47bb-0310-9956-ffa450edef68n
006e9bba7e2d2f80daaae1173484a647a9ac8843,camel,Feature Addition,added more helper behaviour to the MockEndpoint for easier testing; also migrated the various processor tests to the new MockEndpoint approach to simplify testinggit-svn-id: https://svn.apache.org/repos/asf/activemq/camel/trunk@530429 13f79535-47bb-0310-9956-ffa450edef68n
0094821289160a7448ae3521eae881226c9509cd,camel,Feature Addition,camel-5280 - Add addServlet for Producergit-svn-id: https://svn.apache.org/repos/asf/camel/trunk@1342616 13f79535-47bb-0310-9956-ffa450edef68n
00a1b6aea285b8f3f1b3c24c6fb8e44200592b6d,apache-jmeter,None,Allow setup of formatter by OldSaveService (CSV)git-svn-id: https://svn.apache.org/repos/asf/jakarta/jmeter/branches/rel-2-2@539748 13f79535-47bb-0310-9956-ffa450edef68n
00eb735697fde19c5a4151a06442955d1d4a1b9a,tomcat,Preventative,"Refactoring. Switch from a boolean to an Enum for error state so we can differentiate between an error that requires the connection is closed after the current response is completed and an error that requires that the connection is closed immediately. This commit should be a NO-OP. While the different error states are set, the only the presence of an error (or not) is tested - i.e. no change from the implementation prior to this commit. Try to be consistent when an error occurs. Set the status code first (if required), then set the error state and finally log (if required).git-svn-id: https://svn.apache.org/repos/asf/tomcat/trunk@1600109 13f79535-47bb-0310-9956-ffa450edef68n"
00ef3fbdad996c0d74d1bfe9e12cbeab8ff9669f,tomcat,Feature Addition,Allow the transition from NEW to DESTROYED for objects that are never started.git-svn-id: https://svn.apache.org/repos/asf/tomcat/trunk@942794 13f79535-47bb-0310-9956-ffa450edef68n
010a31e84477b60ff536725b388b38323540dcca,apache-ant,None,Refactor the Configurer so that it is much much faster and caches the reflection information. Make it much easier to support pluggable configurors in the future and alternative configuration mechanisms.Submitted by: Adam Murdoch <adammurdoch_ml@yahoo.com>nnngit-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@270491 13f79535-47bb-0310-9956-ffa450edef68n
011618881c92bdaf857da97cf71c94d0cca75eec,tomcat,Corrective,"WebSocket 1.0 implementation part 11 of many Fix s/ping/pong/ in the API. pings are automatically responded to with pongs. Apps send ping and receive pongs. (Sending unsolicited pong is also possible.) Handle incoming messages (at the frame, still need to map WebSocketMessage annotations) Add some debug to the examples to check messages are receivedgit-svn-id: https://svn.apache.org/repos/asf/tomcat/trunk@1420446 13f79535-47bb-0310-9956-ffa450edef68n"
014de3825a0f1c523ccb35f19dfbb2cb9a034465,tomcat,None,Remove some unused codegit-svn-id: https://svn.apache.org/repos/asf/tomcat/trunk@1174341 13f79535-47bb-0310-9956-ffa450edef68n
017fd45b0ac350df786db36875df38b0db7a6c12,camel,None,CAMEL-7965: EndpointRegistry should remove endpoints which are no longer in use when removing routes. The trick is to detect if endpoints is shared and therefore not to be removed yet.
01d7b95e19b9fa7a6982f97699684f65a7f55805,apache-ant,None,*** empty log message ***git-svn-id: https://svn.apache.org/repos/asf/ant/core/trunk@272464 13f79535-47bb-0310-9956-ffa450edef68n
01ea57114024aa78add18bbb7d80630a53fec3c2,camel,None,CAMEL-1815: removed debugger that was newer developed and useable. Use tracer instead.git-svn-id: https://svn.apache.org/repos/asf/camel/trunk@792468 13f79535-47bb-0310-9956-ffa450edef68n
